"","code","year","location","Age","sex","mass","faavg","bci","site","date","time","day","month","mult","count"
"1","00___F52BB","2013","St.George","A","M",NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA
"2","000306C9A3","2013","Abyss","A","M",10.9,38.3,0.2845953,NA,NA,NA,NA,NA,NA,NA
"3","0006074EDC","2016","St.George","A","F",8.1,39.1,0.207161125,NA,NA,NA,NA,NA,NA,NA
"4","0006098B0D","2009","Bob.Walden's","A","F",10,39.11,0.255689082,NA,NA,NA,NA,NA,NA,NA
"5","00060E79AE","2015","St.George","J","M",7.9,37.14,NA,NA,NA,NA,NA,NA,NA,NA
"6","000619FFB","2008","Altamont-Curling.Rink","A","F",9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","000646E4AA","2009","Firecamp",NA,"F",8.1,38.65,0.209573092,NA,NA,NA,NA,NA,NA,NA
"8","00064D12D9","2014","Abyss","A","M",7.8,37.56666667,0.207630878,NA,NA,NA,NA,NA,NA,NA
"9","0006758BB7","2011","Shoal.Lake-Korowiz","A","F",9.14,39.28,0.232688391,NA,NA,NA,NA,NA,NA,NA
"10","0006758CCE","2009","Altamont-Curling.Rink","J","F",8.4,39,0.215384615,NA,NA,NA,NA,NA,NA,NA
"11","0006758F6D","2014","Squeaky","A","F",9.7,38.63333333,0.251078516,"SQ",2014-09-21,"3:33:27",264,"Sep","multiple",2
"12","0006758F6D","2014","Squeaky","A","F",9.7,38.63333333,0.251078516,"SQ",2014-08-16,"2:24:29",228,"Aug","multiple",1
"13","00067591CA","2008","St.George",NA,"M",11,37.32,0.294748124,NA,NA,NA,NA,NA,NA,NA
"14","00067596F7","2012","St.George","A","F",8.78,37.2,0.236021505,NA,NA,NA,NA,NA,NA,NA
"15","000675975D","2011","St.George","A","F",13.3,37.805,0.351805317,"SG",2011-09-18,"3:56:27",261,"Sep",NA,1
"16","000675982F","2012","St.George","A","M",7.92,39.25666667,0.201749172,NA,NA,NA,NA,NA,NA,NA
"17","000675982F","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-11,"5:57:53",255,"Sep",NA,1
"18","000675A013","2009","Microwave","J","M",9.36,35.96,0.26028921,NA,NA,NA,NA,NA,NA,NA
"19","000675A80F","2012","St.George","A","F",8.95,37.78333333,0.23687693,NA,NA,NA,NA,NA,NA,NA
"20","000675AF9E","2009","Abyss",NA,"M",8.1,38.48,0.21049896,NA,NA,NA,NA,NA,NA,NA
"21","000675B0F8","2013","St.George","A","M",8.1,38.23333333,0.211857018,"SG",2013-09-22,"23:13:21",265,"Sep","multiple",2
"22","000675B0F8","2014","St.George","A","M",11.8,38.53333333,0.306228374,"SG",2014-09-07,"3:17:03",250,"Sep","multiple",3
