"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0010000" "FA" 10.3 38.65 0.266494179 "F" "A"
"1000000" "FA" 9.62 37.89 0.253892848 "F" "A"
"1101110" "FJ" 8.55 38.00666 0.224960573 "F" "J"
"1100000" "FA" 8.83 37.40666667 0.236054179 "F" "A"
"1000000" "FA" 11.9 38.51 0.309010647 "F" "A"
"1000000" "MJ" 8 38.32333333 0.208750109 "M" "J"
"1101110" "MJ" 8.08 39.645 0.203808803 "M" "J"
"1000000" "MJ" 8.42 39.43 0.213542988 "M" "J"
"0100000" "FA" 9.5 39.11666667 0.24286323 "F" "A"
"0100000" "MA" 11.6 40.20666667 0.288509368 "M" "A"
"0100000" "FA" 10.1 39.25 0.257324841 "F" "A"
"0100000" "MJ" 8.7 35.36666667 0.245994345 "M" "J"
"0100000" "FA" 10.9 39.08 0.278915046 "F" "A"
"0100000" "MA" 8.4 38.30666667 0.219282979 "M" "A"
"0010000" "MA" 9.8 38.58 0.254017626 "M" "A"
"0010000" "FA" 9.8 39.22 0.249872514 "F" "A"
"0010000" "FA" 10.2 35.6 0.286516854 "F" "A"
"0010000" "FA" 9.5 37.66666667 0.252212389 "F" "A"
"0010000" "MA" 8.6 35.96666667 0.239110287 "M" "A"
"0000010" "FA" 9.5 39.56666667 0.240101095 "F" "A"
"0000010" "MA" 9.7 38.26666667 0.253484321 "M" "A"
"0000001" "FA" 12 37.86666667 0.316901408 "F" "A"
"0000001" "MA" 10.2 40 0.255 "M" "A"
"0100000" "MA" 9.1 39.49 0.230438086 "M" "A"
"0110000" "FA" 8.6 39.353333335 0.2185758805 "F" "A"
"0100000" "FA" 9.8 38.73 0.253033824 "F" "A"
"1000000" "MA" 9.14 36.61 0.249658563 "M" "A"
"0000010" "MJ" 7.9 37.36666667 0.211418376 "M" "J"
"0010000" "MA" 10.9 38.3 0.2845953 "M" "A"
"0001000" "MA" 7.8 37.56666667 0.207630878 "M" "A"
"1000000" "FA" 9.55 40.175 0.237710019 "F" "A"
"0010000" "MA" 11.8 37.03333333 0.318631863 "M" "A"
"1000000" "MA" 9.24 37.53666667 0.246159311 "M" "A"
"1011000" "MA" 13.0633333333333 36.7233333333333 0.355976611 "M" "A"
"1000000" "FA" 9.38 37.33 0.251272435 "F" "A"
"1000000" "FJ" 8.49 38.38 0.221208963 "F" "J"
"1000000" "FJ" 8.48 38.065 0.222776829 "F" "J"
"1000000" "FA" 11.55 40.03 0.2885336 "F" "A"
"1000000" "FJ" 9.34 38.54 0.242345615 "F" "J"
"1000000" "FJ" 8.55 37.6 0.227393617 "F" "J"
"1000000" "MA" 9.06 38.51 0.235263568 "M" "A"
"1000000" "MA" 9.48 39.96 0.237237237 "M" "A"
"1101110" "FA" 8.52 37.445 0.227533716 "F" "A"
"1000000" "MJ" 8.25 38.15 0.216251638 "M" "J"
"0010000" "MA" 8.4 39.15 0.214559387 "M" "A"
