cave,index,year,label,estimate,se,LSE,USE
SG,F-RT,2011-12,Phi,0.53375362,0.101610044,0.432143576,0.635363664
SG,F-MA,2012-13,Phi,0.63981868,0.102089178,0.537729502,0.741907858
SG,F-MA,2013-14 ,Phi,0.7758938,0.07082198,0.70507182,0.84671578
SG,F-MA,2014-15 ,Phi,0.61106655,0.051504797,0.559561753,0.662571347
SG,F-MA,2015-16 ,Phi,0.79568797,0.066538797,0.729149173,0.862226767
SG,F-MA,2016-17 ,Phi,0.41898264,0.138438259,0.280544381,0.557420899
SG,F-RT,2012-13,Phi,0.3300673,0.069759147,0.260308153,0.399826447
SG,F-RT,2013-14 ,Phi,0.49579759,0.038487671,0.457309919,0.534285261
SG,F-RT,2014-15 ,Phi,0.31903927,0.041202211,0.277837059,0.360241481
SG,F-RT,2015-16 ,Phi,0.51122983,0.121615845,0.389613985,0.632845675
SG,F-RT,2016-17 ,Phi,0.15236683,0.043674467,0.108692363,0.196041297
SG,M-RT,2011-12,Phi,0.61597534,0.097236149,0.518739191,0.713211489
SG,M-MA,2012-13,Phi,0.71489101,0.080523386,0.634367624,0.795414396
SG,M-MA,2013-14 ,Phi,0.82578797,0.06066425,0.76512372,0.88645222
SG,M-MA,2014-15 ,Phi,0.64792111,0.051899375,0.596021735,0.699820485
SG,M-MA,2015-16 ,Phi,0.72205393,0.078561569,0.643492361,0.800615499
SG,M-MA,2016-17 ,Phi,0.4323983,0.183170448,0.249227852,0.615568748
SG,M-RT,2012-13,Phi,0.40941338,0.057685318,0.351728062,0.467098698
SG,M-RT,2013-14 ,Phi,0.57335061,0.033280433,0.540070177,0.606631043
SG,M-RT,2014-15 ,Phi,0.3544484,0.045443507,0.309004893,0.399891907
SG,M-RT,2015-16 ,Phi,0.41238379,0.111062675,0.301321115,0.523446465
SG,M-RT,2016-17 ,Phi,0.1812754,0.133142867,0.048132533,0.314418267
SG,F-JUV,2011-12,Phi,0.50619491,0.150338532,0.355856378,0.656533442
SG,F-MY,2012-13,Phi,0.3300673,0.069759147,0.260308153,0.399826447
SG,F-MY,2013-14 ,Phi,0.7758938,0.07082198,0.70507182,0.84671578
SG,F-MY,2014-15 ,Phi,0.61106655,0.051504797,0.559561753,0.662571347
SG,F-MY,2015-16 ,Phi,0.79568797,0.066538797,0.729149173,0.862226767
SG,F-MY,2016-17 ,Phi,0.41898264,0.138438259,0.280544381,0.557420899
SG,F-JUV,2012-13,Phi,0.31392024,0.097752352,0.216167888,0.411672592
SG,F-JUV,2013-14 ,Phi,0.39690567,0.081503207,0.315402463,0.478408877
SG,F-JUV,2014-15 ,Phi,0.07862633,0.057925974,0.020700356,0.136552304
SG,F-JUV,2015-16 ,Phi,0.35211183,0.162727101,0.189384729,0.514838931
SG,F-JUV,2016-17 ,Phi,0.99986185,0.009432246,0.990429604,1
SG,M-JUV,2011-12,Phi,0.58911538,0.13287956,0.45623582,0.72199494
SG,M-MY,2012-13,Phi,0.40941338,0.057685318,0.351728062,0.467098698
