cave,index,year,label,estimate,SE,LCI,UCI
AB,F-MA,2012-2013,Phi,0.434037,0.1887551,0.145362,0.7756776
AB,F-MA,2013-2014 ,Phi,0.8002187,0.1986524,0.2596422,0.9786088
AB,F-MA,2014-2015 ,Phi,0.6109065,0.0673289,0.4740111,0.7322949
AB,F-MA,2015-2016 ,Phi,0.1536693,0.0779154,0.0531344,0.3700784
AB,F-MA,2016-2017 ,Phi,0.0016584,0.029506,0,0.0594902
AB,F-MY,2012-2013,Phi,0.6839542,0.1393897,0.3794491,0.8845146
AB,F-MY,2013-2014 ,Phi,0.7048266,0.124399,0.4251729,0.8851724
AB,F-MY,2014-2015 ,Phi,0.6941816,0.1190274,0.4306551,0.8719893
AB,F-MY,2015-2016 ,Phi,0.6520251,0.1915953,0.2636341,0.9074651
AB,F-MY,2016-2017 ,Phi,0.6265858,0.2468466,0.1750548,0.9299169
AB,M-MA,2012-2013,Phi,0.9525822,0.1154192,0.1183533,0.9996675
AB,M-MA,2013-2014 ,Phi,0.8069255,0.0983035,0.5482118,0.9350427
AB,M-MA,2014-2015 ,Phi,0.7571597,0.0434875,0.6623096,0.8321214
AB,M-MA,2015-2016 ,Phi,0.9994164,0.0103886,0.9790547,1
AB,M-MA,2016-2017 ,Phi,0.002612,0.0462266,0,0.0932162
AB,M-MY,2012-2013,Phi,0.8675853,0.0495033,0.7379214,0.9384488
AB,M-MY,2013-2014 ,Phi,0.8619455,0.0460037,0.7453202,0.9301685
AB,M-MY,2014-2015 ,Phi,0.8532749,0.050308,0.7257034,0.9274465
AB,M-MY,2015-2016 ,Phi,0.87649,0.0609625,0.7017942,0.9553554
AB,M-MY,2016-2017 ,Phi,0.7684723,0.2719561,0.1423178,0.9851615
AB,F-JUV,2011-2012,Phi,0.0832413,0.0337579,0.0367513,0.1776918
AB,F-JUV,2012-2013,Phi,0.1994751,0.1828216,0.0257417,0.7014908
AB,F-JUV,2013-2014 ,Phi,0.0516271,0.0473293,0.0081194,0.2657974
AB,F-JUV,2014-2015 ,Phi,0.2281883,0.1797924,0.0384401,0.6861794
AB,F-JUV,2015-2016 ,Phi,0.1276796,0.1286836,0.0149765,0.5848986
AB,F-JUV,2016-2017 ,Phi,0.0516271,0.0473293,0.0081193,0.2657977
AB,M-JUV,2011-2012,Phi,0.2500889,0.0474029,0.1688865,0.3537177
AB,M-JUV,2012-2013,Phi,0.1772902,0.0909727,0.0596769,0.4225405
AB,M-JUV,2013-2014 ,Phi,0.1968003,0.0619063,0.1021073,0.3455174
AB,M-JUV,2014-2015 ,Phi,0.3160829,0.1110888,0.1444209,0.5585754
AB,M-JUV,2015-2016 ,Phi,0.1882883,0.0951039,0.0641156,0.4399075
AB,M-JUV,2016-2017 ,Phi,0.1395269,0.1153096,0.0240873,0.5158042
AB,F-RT,2011-2012,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,F-RT,2012-2013,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,F-RT,2013-2014 ,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,F-RT,2014-2015 ,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,F-RT,2015-2016 ,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,F-RT,2016-2017 ,Phi,0.318664,0.0315135,0.2603014,0.383331
AB,M-RT,2011-2012,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,M-RT,2012-2013,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,M-RT,2013-2014 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,M-RT,2014-2015 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,M-RT,2015-2016 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,M-RT,2016-2017 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914
AB,F-MA,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123
AB,F-MA,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353
AB,F-MA,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135
AB,F-MA,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884
AB,F-MA,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691
AB,F-MA,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136
AB,F-MY,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123
AB,F-MY,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353
AB,F-MY,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135
AB,F-MY,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884
AB,F-MY,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691
AB,F-MY,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136
AB,M-MA,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123
AB,M-MA,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353
AB,M-MA,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135
AB,M-MA,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884
AB,M-MA,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691
AB,M-MA,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136
AB,M-MY,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123
AB,M-MY,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353
