pitID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,sumobs,group,Fa,Fj,Ma,Mj,mass,FAavg,BCI,AB,DA,FC,IG,LP,MA,MW,OK,PC,RL,SG,SQ
7290,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,9,39.5,0.227848101,0,0,0,0,0,0,0,0,0,0,1,0
69706,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,13,40.29,0.32266071,0,0,0,0,0,0,0,0,0,0,1,0
70900,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.96,38.71,0.257297856,0,0,1,0,0,0,0,0,0,0,0,0
72100,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,9.5,39.23333333,0.242141037,0,0,1,0,0,0,0,0,0,0,0,0
72700,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,8,34.46666667,0.232108317,0,0,0,0,0,0,0,0,1,0,0,0
720000,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,9.1,39.21666667,0.232044199,0,0,0,0,0,0,0,0,0,0,0,1
721000,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,10,42.78333333,0.233735878,0,0,0,0,0,0,0,0,0,0,0,1
6392045,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,10.9,38.3,0.2845953,0,0,0,0,0,0,0,0,0,0,1,0
6758969,0,0,0,0,0,0,1,0,0,0,1,FA,1,0,0,0,9.7,37.8,0.256613757,0,0,0,0,0,0,0,0,0,0,0,1
6759543,0,0,0,0,0,1,1,1,0,0,3,MA,0,0,1,0,7.1,37.18333333,0.190945764,0,0,0,0,0,0,0,0,0,0,1,0
6967041,0,0,0,0,0,0,1,0,0,0,1,FA,1,0,0,0,9.2,39.53333333,0.232715008,0,0,0,0,0,0,0,0,0,0,0,1
6967056,0,0,0,1,0,0,0,0,0,0,1,FA,1,0,0,0,12.28,38.29,0.320710368,0,0,0,0,0,0,0,0,0,0,1,0
6967073,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,12.7,38.5,0.32987013,0,0,0,0,0,0,0,0,0,0,1,0
