capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
25/05/2008,Grand.Rapids,Dale's,0006D0C549,N,MYLU,A,M,NA,8,37.72,0.212089077
25/05/2008,Grand.Rapids,Dale's,0006D0EB96,YB,MYLU,A,M,NA,7.7,37.99,0.202684917
25/05/2008,Grand.Rapids,Dale's,0006D1A838,N,MYLU,A,M,NA,9.1,38.2,0.238219895
25/05/2008,Grand.Rapids,Dale's,0006D1A968,YB,MYLU,A,M,NA,8,38.16,0.209643606
25/05/2008,Grand.Rapids,Dale's,0006D7AC72,N,MYLU,A,M,NA,7.3,38.8,0.18814433
25/05/2008,Grand.Rapids,Dale's,0006D7CDED,N,MYLU,A,M,NA,7.7,37.47,0.205497732
26/05/2008,Grand.Rapids,Firecamp,0006D0BCD5,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0BDAE,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0BF13,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0BFAA,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0BFAC,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C0C3,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C128,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0C18D,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C2C0,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C32D,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0C3D7,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C406,N,MYLU,NA,F,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C43F,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C68D,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C6EE,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C6FD,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C8C5,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C8DA,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C9A0,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0C9A7,N,MYLU,NA,M,NA,NA,NA,NA
