"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0010000" "FA" 9 39.5 0.227848101 "F" "A"
"0010000" "FA" 10.9 38.3 0.2845953 "F" "A"
"0011100" "MA" 7.1 37.18333333 0.190945764 "M" "A"
"1000000" "FA" 12.28 38.29 0.320710368 "F" "A"
"0011000" "MA" 7.4 39 0.18974359 "M" "A"
"0010000" "MA" 6.9 38.33333333 0.18 "M" "A"
"0010000" "MA" 7.3 37.96666667 0.192273924 "M" "A"
"0010000" "MA" 7.3 37.2 0.196236559 "M" "A"
"1000000" "FA" 11.98 38.65 0.30996119 "F" "A"
"0000001" "FA" 9.2 39.36666667 0.233700254 "F" "A"
"0010000" "MA" 8.2 37 0.221621622 "M" "A"
"0010011" "MA" 7.2 37 0.194594595 "M" "A"
"0010000" "MA" 7.1 36.45 0.19478738 "M" "A"
"0100000" "FA" 9.03 38.81 0.232671992 "F" "A"
"1000000" "MA" 11.41 38.64 0.295289855 "M" "A"
"0100000" "FJ" 8.31 36.41333333 0.228213109 "F" "J"
"0100000" "FA" 8.35 37.68333333 0.22158337 "F" "A"
"0100000" "MA" 9.24 39.18 0.235834609 "M" "A"
"0100000" "MJ" 8 37.61666667 0.212671688 "M" "J"
"0010001" "MA" 10.2 37.683333335 0.270347418 "M" "A"
"0010110" "MA" 7.2 37.45 0.192256342 "M" "A"
"0100110" "MA" 8.69 38.11333333 0.228004198 "M" "A"
"0100000" "MA" 8.99 37.81333333 0.237746827 "M" "A"
"0011000" "MA" 7.7 38.5 0.2 "M" "A"
"0010000" "MA" 7.6 38.46666667 0.197573657 "M" "A"
"0101100" "MA" 8.79 36.61 0.240098334 "M" "A"
"0100000" "FA" 9.01 36.01666667 0.250161962 "F" "A"
"0011000" "MA" 8 38.4 0.208333333 "M" "A"
"1000000" "MJ" 7.74 38.2033 0.202600299 "M" "J"
"0010100" "MA" 8.4 38.3 0.219321149 "M" "A"
"0010000" "MA" 8.4 39.46666667 0.212837838 "M" "A"
"0111000" "MA" 11.505 40.2475 0.28592598725 "M" "A"
"1000000" "FA" 11.23 38.495 0.291726198 "F" "A"
"0101011" "MA" 8.68 36.51666667 0.237699681 "M" "A"
"0010000" "MA" 7 39 0.179487179 "M" "A"
"0100000" "MA" 9.41 35.88 0.262263099 "M" "A"
"0100000" "MA" 9.68 39.49 0.245125348 "M" "A"
"0010000" "MA" 7.6 38 0.2 "M" "A"
"0011000" "MA" 6.8 39 0.174358974 "M" "A"
"0100000" "MA" 7.87 36.79666667 0.213878069 "M" "A"
"0010000" "MA" 7.1 38 0.186842105 "M" "A"
"1100000" "MA" 9.39 39.48 0.237841945 "M" "A"
"1000000" "FJ" 8.34 38.35333333 0.217451764 "F" "J"
"1101100" "MA" 8.28 39.83 0.207883505 "M" "A"
"1100110" "FA" 8.47 38.86333333 0.21794322 "F" "A"
"0100000" "FA" 9.05 39.23333333 0.230671198 "F" "A"
"0100000" "MA" 8.58 39.22 0.218765936 "M" "A"
"0100000" "MJ" 7.46 35.92 0.207683742 "M" "J"
"0100000" "FA" 8.35 38.89 0.214708151 "F" "A"
"0100000" "MJ" 7.84 38.87333333 0.201680672 "M" "J"
"0010000" "MA" 8 36 0.222222222 "M" "A"
"0011000" "MA" 9.1 37.008333335 0.2448354805 "M" "A"
"0010000" "FA" 8.3 37.13333333 0.223518851 "F" "A"
"0010000" "MA" 5.5 38.3 0.143603133 "M" "A"
"0010000" "MA" 8.5 38.03333333 0.223488168 "M" "A"
"0010000" "MA" 7.6 36 0.211111111 "M" "A"
"0010000" "MA" 6.9 36.96666667 0.186654644 "M" "A"
"0010000" "FA" 8.2 36.5 0.224657534 "F" "A"
"0010110" "FA" 7.4 38.33333333 0.193043478 "F" "A"
"0011111" "MA" 8.2 37.96666667 0.215978929 "M" "A"
"0011001" "FA" 7.8 37.93333333 0.205623902 "F" "A"
"0010000" "FA" 7.8 38.80333333 0.201013659 "F" "A"
"0011101" "MA" 7.5 37.23333333 0.201432408 "M" "A"
"0010000" "FA" 8.1 39.26666667 0.206281834 "F" "A"
"0010000" "MA" 6.9 35.38333333 0.195007065 "M" "A"
"0010010" "FA" 8.2 35.7 0.229691877 "F" "A"
"0010000" "MA" 7.3 36.51666667 0.199908717 "M" "A"
"0010000" "FA" 8.4 37.63333333 0.223206377 "F" "A"
"0011110" "MA" 7.1 36 0.197222222 "M" "A"
"0010000" "FA" 10.1 38.23333333 0.264167393 "F" "A"
"0010000" "FA" 9.5 37.03333333 0.256525653 "F" "A"
"0010000" "FA" 7.2 39.06666667 0.184300341 "F" "A"
"0010001" "FA" 7.9 38.23333333 0.206625981 "F" "A"
"0011000" "FA" 8.3 39.3 0.211195929 "F" "A"
"0010000" "FA" 8 38 0.210526316 "F" "A"
"0010000" "MA" 8.4 40.4 0.207920792 "M" "A"
"0011100" "FA" 7.7 35.26666667 0.218336484 "F" "A"
"0010000" "FA" 8.9 37.46666667 0.237544484 "F" "A"
"0010000" "FA" 8.6 38.2 0.22513089 "F" "A"
"0010000" "FA" 9.4 36.1 0.260387812 "F" "A"
"0011110" "FA" 8.4 37.51666667 0.223900489 "F" "A"
"0010100" "MA" 8 38.4 0.208333333 "M" "A"
"0010110" "FA" 9.5 38.53 0.246561121 "F" "A"
"0011000" "FA" 8.8 36.13666667 0.24351997 "F" "A"
"0010000" "FA" 8.9 38.60333333 0.230550039 "F" "A"
"0100000" "FJ" 7.58 38.31666667 0.197825141 "F" "J"
"0100000" "MJ" 8.1 37.56333333 0.215635815 "M" "J"
"0100000" "MA" 8.54 37.57333333 0.227288857 "M" "A"
"0010000" "FA" 8.2 38.8 0.211340206 "F" "A"
"0011000" "FA" 9.4 36.13333333 0.260147601 "F" "A"
"0000010" "FA" 8.7 39.86666667 0.218227425 "F" "A"
"0000011" "FA" 9 38.76666667 0.232158212 "F" "A"
"0000010" "FA" 9 36.66666667 0.245454545 "F" "A"
"0000001" "MA" 8.5 37.4 0.227272727 "M" "A"
"0000001" "FJ" 4.6 36.36666667 0.126489459 "F" "J"
"0000010" "MA" 7.4 37.6 0.196808511 "M" "A"
"0000001" "MA" 9 38.36666667 0.234578627 "M" "A"
"0000001" "MA" 8.5 39.1 0.217391304 "M" "A"
"0000001" "FJ" 8.8 38.5 0.228571429 "F" "J"
"0000001" "FJ" 8 38.4 0.208333333 "F" "J"
"0000001" "FJ" 8.1 37.26666667 0.217352415 "F" "J"
"0000001" "MJ" 7.5 38.16666667 0.19650655 "M" "J"
"0000001" "FA" 8.2 38.66666667 0.212068966 "F" "A"
"0000001" "MJ" 7.7 37.33333333 0.20625 "M" "J"
"0000001" "FA" 8.3 38.13333333 0.217657343 "F" "A"
"0000001" "MJ" 7.7 137.5 0.056 "M" "J"
"0000001" "MJ" 7 37 0.189189189 "M" "J"
"0000001" "FJ" 8.4 36.53333333 0.229927007 "F" "J"
"0000001" "FA" 10.3 39 0.264102564 "F" "A"
"0000001" "FJ" 9.1 38 0.239473684 "F" "J"
"0000001" "MJ" 7.8 36.9 0.211382114 "M" "J"
"0000001" "FJ" 9.9 38.53333333 0.256920415 "F" "J"
"1000000" "FJ" 9.4 38.97 0.241211188 "F" "J"
"0100000" "MA" 7.81 36.73333333 0.21261343 "M" "A"
"1100000" "FA" 10.055 38.2475 0.2631581755 "F" "A"
"1101111" "MA" 13.97 39.96 0.3495996 "M" "A"
"0010001" "MJ" 8.5 36 0.236111111 "M" "J"
"1100000" "FA" 10.05 38.39 0.261786924 "F" "A"
"0010010" "MA" 8 37.53333333 0.213143872 "M" "A"
"0010000" "MA" 7.6 36.63333333 0.207461328 "M" "A"
"0100000" "MJ" 7.5 37.35666667 0.200767378 "M" "J"
"1000000" "MA" 12.05 37.395 0.322235593 "M" "A"
"0000010" "FA" 8.9 38.03333333 0.234005259 "F" "A"
"0010100" "MA" 7.3 39.96666667 0.18265221 "M" "A"
"0100000" "FA" 8.94 36.77666667 0.243088915 "F" "A"
"0100000" "FA" 9.57 39.16 0.244382022 "F" "A"
