cave,index,year,label,estimate,SE,LCI,UCI,W_maxtemp,W_mintemp,W_meantemp,W_heatdegdays,W_totalprecip,W_maxwind,S_maxtemp,S_mintemp,S_meantemp,S_heatdegdays,S_totalprecip,S_maxSind
AB,F-MA,2012-2013,Phi,0.434037,0.1887551,0.145362,0.7756776,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-MA,2013-2014 ,Phi,0.8002187,0.1986524,0.2596422,0.9786088,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-MA,2014-2015 ,Phi,0.6109065,0.0673289,0.4740111,0.7322949,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-MA,2015-2016 ,Phi,0.1536693,0.0779154,0.0531344,0.3700784,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-MA,2016-2017 ,Phi,0.0016584,0.029506,0,0.0594902,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,F-MY,2012-2013,Phi,0.6839542,0.1393897,0.3794491,0.8845146,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-MY,2013-2014 ,Phi,0.7048266,0.124399,0.4251729,0.8851724,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-MY,2014-2015 ,Phi,0.6941816,0.1190274,0.4306551,0.8719893,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-MY,2015-2016 ,Phi,0.6520251,0.1915953,0.2636341,0.9074651,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-MY,2016-2017 ,Phi,0.6265858,0.2468466,0.1750548,0.9299169,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-MA,2012-2013,Phi,0.9525822,0.1154192,0.1183533,0.9996675,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-MA,2013-2014 ,Phi,0.8069255,0.0983035,0.5482118,0.9350427,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-MA,2014-2015 ,Phi,0.7571597,0.0434875,0.6623096,0.8321214,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-MA,2015-2016 ,Phi,0.9994164,0.0103886,0.9790547,1,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-MA,2016-2017 ,Phi,0.002612,0.0462266,0,0.0932162,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-MY,2012-2013,Phi,0.8675853,0.0495033,0.7379214,0.9384488,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-MY,2013-2014 ,Phi,0.8619455,0.0460037,0.7453202,0.9301685,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-MY,2014-2015 ,Phi,0.8532749,0.050308,0.7257034,0.9274465,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-MY,2015-2016 ,Phi,0.87649,0.0609625,0.7017942,0.9553554,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-MY,2016-2017 ,Phi,0.7684723,0.2719561,0.1423178,0.9851615,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,F-JUV,2011-2012,Phi,0.0832413,0.0337579,0.0367513,0.1776918,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,F-JUV,2012-2013,Phi,0.1994751,0.1828216,0.0257417,0.7014908,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-JUV,2013-2014 ,Phi,0.0516271,0.0473293,0.0081194,0.2657974,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-JUV,2014-2015 ,Phi,0.2281883,0.1797924,0.0384401,0.6861794,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-JUV,2015-2016 ,Phi,0.1276796,0.1286836,0.0149765,0.5848986,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-JUV,2016-2017 ,Phi,0.0516271,0.0473293,0.0081193,0.2657977,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-JUV,2011-2012,Phi,0.2500889,0.0474029,0.1688865,0.3537177,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,M-JUV,2012-2013,Phi,0.1772902,0.0909727,0.0596769,0.4225405,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-JUV,2013-2014 ,Phi,0.1968003,0.0619063,0.1021073,0.3455174,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-JUV,2014-2015 ,Phi,0.3160829,0.1110888,0.1444209,0.5585754,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-JUV,2015-2016 ,Phi,0.1882883,0.0951039,0.0641156,0.4399075,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-JUV,2016-2017 ,Phi,0.1395269,0.1153096,0.0240873,0.5158042,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,F-RT,2011-2012,Phi,0.318664,0.0315135,0.2603014,0.383331,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,F-RT,2012-2013,Phi,0.318664,0.0315135,0.2603014,0.383331,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-RT,2013-2014 ,Phi,0.318664,0.0315135,0.2603014,0.383331,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-RT,2014-2015 ,Phi,0.318664,0.0315135,0.2603014,0.383331,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-RT,2015-2016 ,Phi,0.318664,0.0315135,0.2603014,0.383331,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-RT,2016-2017 ,Phi,0.318664,0.0315135,0.2603014,0.383331,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-RT,2011-2012,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,M-RT,2012-2013,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-RT,2013-2014 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-RT,2014-2015 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-RT,2015-2016 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-RT,2016-2017 ,Phi,0.3887928,0.0264414,0.3383897,0.4416914,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,F-MA,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,F-MA,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-MA,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-MA,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-MA,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-MA,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,F-MY,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,F-MY,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,F-MY,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,F-MY,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,F-MY,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,F-MY,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-MA,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,M-MA,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-MA,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-MA,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-MA,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-MA,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
AB,M-MY,2011-2012,p,0.569916,0.0685084,0.4338135,0.6962123,-3.664634146,-13.82168675,-8.799390244,26.79939024,0.839759036,34.90963855,24.55333333,10.784,17.67297297,1.591891892,1.475675676,36.26666667
AB,M-MY,2012-2013,p,0.6525891,0.0631863,0.5210337,0.764353,-8.224242424,-19.51454545,-13.89212121,31.89212121,1.190909091,32.89759036,22.96857143,10.49452055,16.71571429,2.04,3.866666667,32.35135135
AB,M-MY,2013-2014 ,p,0.8663994,0.0269643,0.8042244,0.9110135,-10.58083832,-21.32634731,-15.97724551,33.97724551,0.841935484,34.71515152,22.72077922,9.936363636,16.35064935,2.284415584,2.757894737,34.80519481
AB,M-MY,2014-2015 ,p,0.9644332,0.02002,0.8962455,0.9883884,-7.381325301,-17.70778443,-12.56746988,30.56746988,0.860606061,35.58682635,23.53815789,10.14473684,16.87105263,2.002631579,1.902631579,34.23684211
AB,M-MY,2015-2016 ,p,0.5650622,0.0451841,0.4753669,0.650691,-3.721428571,-13.16011905,-8.45297619,26.45297619,0.861309524,32.69642857,22.88552632,10.55844156,16.76710526,2.085526316,3.482666667,34.90909091
AB,M-MY,2016-2017 ,p,0.027298,0.030224,0.0030057,0.207136,-4.201796407,-13.92754491,-9.078443114,27.07844311,0.989820359,34.17365269,23.416,9.693506494,16.64266667,2.134666667,1.005333333,34.01298701
SG,F-MA,2012-2013,Phi,0.6966539,0.0697732,0.5459419,0.8143521,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,F-MA,2013-2014 ,Phi,0.7119109,0.0802202,0.5344579,0.8417512,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,F-MA,2014-2015 ,Phi,0.6927217,0.0504169,0.5862867,0.7819579,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,F-MA,2015-2016 ,Phi,0.713339,0.0559477,0.5927629,0.8096772,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,F-MA,2016-2017 ,Phi,0.69845,0.0697039,0.5476712,0.8158665,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,F-MY,2012-2013,Phi,0.5631705,0.110417,0.3484927,0.7565304,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,F-MY,2013-2014 ,Phi,0.6049718,0.1683977,0.277903,0.8590397,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,F-MY,2014-2015 ,Phi,0.5542142,0.0959801,0.3673218,0.7269393,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,F-MY,2015-2016 ,Phi,0.6080926,0.1587836,0.2959635,0.851346,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,F-MY,2016-2017 ,Phi,0.5594595,0.1086419,0.3486448,0.7508104,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,M-MA,2012-2013,Phi,0.6827801,0.0826164,0.5047393,0.8196825,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,M-MA,2013-2014 ,Phi,0.6714032,0.0491438,0.5690421,0.7597178,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,M-MA,2014-2015 ,Phi,0.6681828,0.0314116,0.6040318,0.7266441,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,M-MA,2015-2016 ,Phi,0.6697637,0.0328536,0.6025216,0.7307144,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,M-MA,2016-2017 ,Phi,0.6619259,0.0706018,0.5133755,0.7841915,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,M-MY,2012-2013,Phi,0.5872547,0.0841412,0.4187859,0.7375001,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,M-MY,2013-2014 ,Phi,0.6240096,0.1309708,0.357206,0.8321185,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,M-MY,2014-2015 ,Phi,0.5627213,0.0932509,0.3797613,0.7300722,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,M-MY,2015-2016 ,Phi,0.5841843,0.0767611,0.4306033,0.7229894,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,M-MY,2016-2017 ,Phi,0.6127736,0.1297931,0.351345,0.8221678,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,F-JUV,2011-2012,Phi,0.3596983,0.1031899,0.1892598,0.5748042,-0.903012048,-11.27125749,-6.114457831,24.11445783,0.494578313,37.38922156,25.8012987,11.75454545,18.80519481,1.050649351,4.479220779,36.90909091
SG,F-JUV,2012-2013,Phi,0.3168695,0.103729,0.1534978,0.5426547,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,F-JUV,2013-2014 ,Phi,0.3468149,0.0810943,0.2083819,0.5171352,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,F-JUV,2014-2015 ,Phi,0.155195,0.1375054,0.0229765,0.5893287,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,F-JUV,2015-2016 ,Phi,0.1883396,0.1231912,0.0456365,0.5296316,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,F-JUV,2016-2017 ,Phi,0.7150908,0.3430286,0.0847263,0.9855182,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,M-JUV,2011-2012,Phi,0.5218945,0.1258108,0.2889236,0.7457147,-0.903012048,-11.27125749,-6.114457831,24.11445783,0.494578313,37.38922156,25.8012987,11.75454545,18.80519481,1.050649351,4.479220779,36.90909091
SG,M-JUV,2012-2013,Phi,0.3971024,0.1152345,0.2040867,0.6285122,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,M-JUV,2013-2014 ,Phi,0.4561987,0.0745446,0.3176473,0.6018774,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,M-JUV,2014-2015 ,Phi,0.2399472,0.175961,0.0454745,0.6765856,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,M-JUV,2015-2016 ,Phi,0.353041,0.1206057,0.162376,0.6056964,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,M-JUV,2016-2017 ,Phi,0.4418291,29.9557613,0,1,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,F-RT,2011-2012,Phi,0.5738642,0.1082883,0.3611707,0.7623409,-0.903012048,-11.27125749,-6.114457831,24.11445783,0.494578313,37.38922156,25.8012987,11.75454545,18.80519481,1.050649351,4.479220779,36.90909091
SG,F-RT,2012-2013,Phi,0.332028,0.0768555,0.2012938,0.4950437,-6.825,-17.0577381,-11.96011905,29.96011905,0.920958084,34.98214286,24.97792208,11.03116883,18.02727273,1.412987013,2.028947368,35.71428571
SG,F-RT,2013-2014 ,Phi,0.4702603,0.0320854,0.4081684,0.5332865,-9.250898204,-20.67964072,-14.98622754,32.98622754,1.469620253,37.21818182,23.86315789,11.47792208,17.71973684,1.432894737,3.028947368,36.81818182
SG,F-RT,2014-2015 ,Phi,0.3828446,0.0506734,0.2894926,0.4857203,-5.522641509,-15.63544304,-10.54076433,28.54076433,0.684313725,37.50632911,24.7640625,10.9328125,17.82222222,1.471428571,1.844444444,38.578125
SG,F-RT,2015-2016 ,Phi,0.3440696,0.148257,0.1264443,0.655284,-2.22,-11.24759036,-6.689090909,24.68909091,0.622981366,35.7245509,24.53376623,11.712,18.15466667,1.116,3.539189189,37
SG,F-RT,2016-2017 ,Phi,0.1320995,0.0705518,0.0435779,0.3370664,-2.710135135,-11.38917197,-7.111724138,25.11172414,0.793430657,35.64150943,24.50657895,10.21038961,17.36184211,1.451315789,1.696052632,36.63636364
SG,M-RT,2011-2012,Phi,0.635075,0.1023469,0.4227442,0.805279,-0.903012048,-11.27125749,-6.114457831,24.11445783,0.494578313,37.38922156,25.8012987,11.75454545,18.80519481,1.050649351,4.479220779,36.90909091
