cave,index,label,estimate,SE,LCI,UCI
SG,F-AD,Phi,0.5968561,0.0188077,0.559512,0.6331103
SG,F-JUV,Phi,0.3237897,0.058002,0.2217266,0.4459157
SG,M-AD,Phi,0.6312168,0.0167558,0.5978123,0.6634089
SG,M-JUV,Phi,0.4524552,0.0597657,0.3399327,0.5700569
SG,08_09,p,0.4491534,0.1551246,0.1926352,0.7359052
SG,09_10,p,0,0.0000002,0,0.000058
SG,10_11,p,0,0.000001,0,0.0010341
SG,11_12,p,0.5541107,0.0659728,0.4240761,0.677138
SG,12_13,p,0.1238637,0.0245804,0.0831509,0.1805842
SG,13_14,p,0.3995126,0.0201175,0.3608087,0.4395135
SG,14_15,p,0.28799,0.0208183,0.2489614,0.330445
SG,15_16,p,0.3741355,0.0308513,0.3158837,0.4362789
SG,16_17,p,0.5174539,0.0478368,0.4241759,0.6095312
AB,F-AD,Phi,0.3796907,0.0377341,0.3089831,0.4559036
AB,F-AJ,Phi,0.7227484,0.1572558,0.358927,0.9238817
AB,F-JUV,Phi,0.0844497,0.0414282,0.0312627,0.2086355
AB,M-AD,Phi,0.5636288,0.0289279,0.5063432,0.6192653
AB,M-AJ,Phi,0.8274099,0.0682443,0.6526511,0.9244252
AB,M-JUV,Phi,0.22659,0.0495954,0.1440129,0.3378296
AB,08_09,p,0,0.0000005,0,0.000079
AB,09_10,p,0,0.0000002,0,0.0000004
AB,10_11,p,0,0.0000001,0,0.0000003
AB,11_12,p,0.4841726,0.0873287,0.3211102,0.6506762
AB,12_13,p,0.6041163,0.0897982,0.4223137,0.7610737
AB,13_14,p,0.795005,0.0489764,0.6827293,0.8748328
AB,14_15,p,0.9724475,0.0220852,0.8752433,0.9943996
AB,15_16,p,0.7470384,0.0920525,0.5319861,0.8846926
AB,16_17,p,0.0109754,0.0155443,0.0006699,0.155206
